car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Datsun RediGO,,RediGO,3,27263,Individual,Petrol,Manual,22.5,999,68.0,5,350000
Hyundai Verna,Hyundai,Verna,7,110000,Owner,diesel,Manual,22.32,1582,126.3,5,520000
Hyundai i20,Hyundai,i20,5,70000,Owner,Diesel,Manual,22.54,1396,88.73,5,750000
Maruti Swift Dzire,Maruti,Swift Dzir3,4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,560000
Hyundai i20,Hyundai,i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000
Hyundai Santro,Hyundai,Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,125000
Hyundai i20,Hyundai,i20,3,34000,Individual ,Petrol,Manual,18.6,1197,81.83,5,550000
Mahindra Scorpio,Mahindra,Scorpio,4,50000,INDIVIDUAL,Diesel,  Manual,15.4,1997,120.0,7,1150000
Volkswagen Vento,Volkswagen,VeNto,9,77400,,Diesel,Manual,20.54,1598,103.6,5,500000
Mahindra Marazzo,mahIndra,Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,990000
Hyundai Verna,Hyundai,VeRna,8,47876,Dealer,DIeSel,M/T,25.0,1493,113.42,5,551000
Mahindra XUV500,Mahindr,XUV500,3,21500,,Diesel,Automatic,15.1,2179,152.87,7,1650000
Hyundai Grand, Hyundai,Grand,6,75000,Car Dealer,Diesel ,,24.0,1120,70.0,5,350000
Ford Aspire,Ford,Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000
Maruti Swift Dzire,Marut,Swift Dzir3,3,30000,Individual,Gas,MAN,21.21,1197,81.8,5,575000
Hyundai Grand,HYUNDAI,Grand,3,50000,,Diesel,Manual,24.0,1186,73.97,5,545000
Ford Figo,Ford,Figo,4,19093,trustmark dealer,Petrol,mAnuAl,18.16,1196,86.8,5,525000
Honda Amaze,Hond,Amaze,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000
Maruti Wagon R,Maruti,Wagon R,15,37000,Car Dealer,Gas,,14.0,1061,64.0,5,155000
Maruti Swift Dzire,Maruti,Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000
Honda City,Honda,City,8,70000,Owner,Petrol,Manual  ,16.8,1497,116.3,5,545000
Renault KWID,Renault,KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000
Maruti Vitara,Maruti,Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
Ford Aspire,Ford ,Aspire,4,30000,Owner,Petrol,MAN,18.16,1196,86.8,5,480000
Hyundai i20,Hyundai,i20,8,15000,Individual,Gas,M/T,18.5,1197,82.9,5,375000
Maruti Swift,Maruti,SWIF,10,160000,Owner,Diesel Fuel,Manual,17.8,1248,75.0,5,225000
Tata Tiago,Tata,TIAGO,4,32100,Owner,Petrol,Manual,23.84,1199,84.0,5,400000
Hyundai i20,Hyunda,i20,5,22000,Car Dealer,Petrol,Manual,18.5,1197,82.9,5,550000
Mahindra Scorpio,Mahindra,Scorpio,5,44000,dealer,Diesel Fuel,MAN,15.4,2179,120.0,7,1050000
Volkswagen Polo,Volkswagen,Polo,5,78000,Dealer,Gasoline,Manual,18.78,1198,74.0,5,450000
Mercedes-Benz C-Class,M3rcedes-Benz ,C-Class,9,74352,Dealer,Petrol,automatic,11.74,1796,186.0,5,775000
Maruti Wagon R,Maruti,Wagon R,7,37000,Owner,Gas,Manual,20.51,998,67.04,5,350000
Honda City,Hond,City,7,69000,Dealer,Diesel,maNUAL,25.1,1498,98.6,5,550000
Kia Seltos,Kia,Seltos,2,12120,Individual,Petrol,MAN,16.8,1497,113.4,5,1080000
Maruti Baleno,Maruti,Baleno,5,52000,Dealer, Petrol,Manual,21.01,1197,81.8,5,575000
Toyota Innova,Toyot,Innova,5,120000,Owner,Diesel Fuel,Manual,12.99,2494,100.6,8,950000
Maruti Alto,Maruti,Alto,8,55000,Individual,Gasoline,Manual,22.74,796,47.3,5,230000
Hyundai i20,Hyundai,i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000
Ford Figo,FORD,Figo,10,40000,Owner,Gasoline,M/T,15.6,1196,70.0,5,130000
Maruti Swift Dzire,Marut,Swift Dzire,9,46000,Car Dealer,,Manual,19.1,1197,85.8,5,370000
Maruti Baleno,Maruti,Baleno,4,25000,Car Dealer,Gas,M/T,21.4,1197,83.1,5,570000
Volkswagen Polo,,Polo,8,90000,dealer,Diesel Fuel,Manual ,22.07,1199,73.9,5,365000
Hyundai i20,Hyundai,i20,9,49566,Dealer  ,Petrol ,MANuAL,18.5,1197,82.85,5,280000
Hyundai Verna,Hyundai,Verna,3,14000,Dealer,,Automatic,22.0,1582,126.2,5,1250000
Hyundai i20,Hyundai,I20,5,11000,Dealer,Petrol ,Manual,18.6,1197,81.83,5,590000
Maruti Celerio,maruti,Celerio,3,5000,Owner,Petrol,Automatic,23.1,998,67.04,5,475000
Ford Ecosport,Ford,Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000
Hyundai Verna,Hyunda,V3rna,9,65000, Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000
Renault KWID,Renault,KWI,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000
Maruti Baleno,Maruti,Baleno,3,7671,Trustmark Dealer,Petrol,M/T,21.01,1197,81.8,5,650000
Maruti Wagon R,Maruti,Wagon R,5,66000,Individual,Gas,MAN,20.51,998,67.04,5,325000
Maruti Swift Dzire,maruti,Swift Dzire,3,45156,Car Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000
Hyundai Venue,,Venue,2,25000,Individual,Gasoline,Manual,18.27,998,118.35,5,949000
Hyundai Verna,Hyundai,V3rna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000
Maruti Swift,,Swift,7,28000,Car Dealer,Petrol,Manual,16.1,1197,85.0,5,435000
Hyundai i20,,i20,8,55000,,Diesel,MAN,21.9,1396,88.76,5,385000
Hyundai Verna,Hyundai,Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
Maruti Wagon R,  Maruti,Wagon R,12,98780,  Dealer,Petrol,Manual,18.9,998,67.1,5,155000
Maruti Swift,Maruti,Swif,6,58000,Dealer,,,25.2,1248,74.0,5,415000
Maruti Alto,Maruti,Alto,10,30000,Owner,Gas,Manual,20.92,998,67.1,5,251000
Mahindra Scorpio,Mahindra,Scorpio,5,46400,Dealer ,Diesel,MAN,15.4,2179,120.0,7,1150000
Hyundai i10,Hyundai,i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000
Datsun GO,Datsun,GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000
Mahindra Scorpio,Mahindr,Scorpio,4,30000,Dealer,Diesel Fuel,Manual,15.4,1997,120.0,7,1125000
BMW 5,BMW,5,5,63000,Car Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000
Datsun GO,Datsun,GO,3,10000,Owner,Petrol,Manual,20.62,1198,67.0,7,480000
Maruti Swift Dzire,Maruti,Swift Dzir3,4,25000,Individual,Diesel,AUTO,28.4,1248,74.02,5,850000
Hyundai Creta,HYUNDAI,Creta,4,102000,Dealer,diesel,Automatic,17.01,1582,126.2,5,1100000
Maruti Swift,Maruti,Swift,3,35000,Dealer,  Petrol,M/T,22.0,1197,81.8,5,575000
Maruti Swift Dzire,Maruti,Swift Dzir3,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000
Ford Ecosport,Ford,Ecosport,3,55000,Individual,Diesel Fuel,Manual,23.0,1498,98.96,5,925000
Hyundai Grand,Hyundai,Grand,6,36000,, Petrol,  Manual,18.9,1197,82.0,5,400000
Honda City,HONDA,City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
Maruti Swift Dzire, Marut,Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000
Mahindra Scorpio,Mahindra,Scorpio,8,95000,Owner,Diesel,Manual,12.05,2179,120.0,8,550000
Ford Aspire,Ford,Aspire,4,36000,Dealer,Diesel  ,Manual,25.83,1498,99.0,5,585000
Maruti Wagon R,Marut,Wagon R,2,50000,individual,Petrol,MAN,21.79,998,67.05,5,411000
Maruti Swift Dzire,Marut,Swift Dzire,6,26500,Owner,Petrol ,Manual,20.85,1197,83.14,5,450000
Honda CR-V,Honda,CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000
Volkswagen Polo,Volkswagen,Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000
Hyundai Grand,hyundai,Grand,2,9000,,Gasoline,manual,20.7,1197,81.86,5,710000
Honda City,Honda,City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000
Ford Endeavour,Ford ,Endeavour,3,11387,Individual ,Diesel,Automatic,10.91,3198,197.0,7,2900000
Honda Amaze,Honda,Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000
Mahindra KUV,Mahindra,KUV,5,52000,  Dealer,Diesel,Manual ,25.32,1198,77.0,5,375000
Datsun GO,Datsu,GO,6,35000,Owner, Petrol,Manual,19.44,1198,67.0,7,400000
Renault Duster,  Renault,Duster,6,48000,,Diesel,Manual,19.87,1461,83.8,5,600000
Honda Jazz,Honda,Jazz,3,18000,,Gas,Manual,18.7,1199,88.7,5,600000
Maruti Wagon R,Marut,Wagon R,9,57413,Individual,LPG,MAN,14.4,998,61.7,5,270000
Hyundai i20,Hyundai,i20,6,30000,Individual,Gasoline,Manual,18.6,1197,81.83,5,500000
Hyundai Verna,Hyundai,V3rna,6,55000,Car Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
Maruti Swift,Maruti,Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000
BMW 3,bmw,3,5,68000,Dealer,Diesel,A/T,22.69,1995,190.0,5,2090000
Kia Seltos,Kia,Seltos,1,8000,Dealer,Petrol,M/T,16.8,1497,113.4,5,1275000
Maruti Swift,Maruti,Swift,6,65000,Dealer,Diesel,MAN,28.4,1248,74.0,5,495000
Hyundai Grand,Hyundai,Grand,5,25000,Individual,Petrol,M/T,18.9,1197,82.0,5,475000
Maruti Ciaz, Maruti,Ciaz,6,70000,Individual,PeTROl,MAN,20.73,1373,91.1,5,530000
Tata Tiago,Tata,Tiago,5,9500,Individual,Petrol ,MaNual,23.84,1199,84.0,5,530000
Hyundai Verna,  Hyundai,Verna,6,9100,iNdiviDuAL,,MAN,17.01,1591,121.3,5,650000
Honda City,Honda,City,11,86000,Dealer,Gas,Manual,17.0,1497,118.0,5,335000
Audi A4,Audi,A4,8,78000,Car Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000
Ford Figo,FOrd,Figo,10,60000,Individual,diesel,Manual,20.0,1399,68.0,5,300000
Maruti Wagon R,,Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000
Maruti Swift Dzire,,Swift Dzire,8,50205,Trustmark Dealer  ,Diesel Fuel,Manual,23.4,1248,74.0,5,390000
Mahindra Bolero,Mahindr,Bolero,13,220000,Owner,Diesel,,13.6,2523,63.0,7,260000
Tata Tigor,Tata,Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,395000
Mahindra Scorpio,Mahindra,Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000
Maruti Swift Dzire,Maruti,Swift Dzir3,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000
Maruti Swift,Marut,Swif,5,71245,Dealer,Diesel Fuel, Manual,28.4,1248,74.0,5,375000
Kia Seltos,Kia  ,Seltos,2,7000,Individual, Petrol,M/T,16.1,1353,138.0,5,1300000
Maruti Alto,Maruti,Alto,3,20000,Individual,Gasoline,Manual,23.95,998,67.05,5,360000
Maruti Celerio,Maruti,Celerio,1,8700,Individual,Gas,MAN,21.63,998,67.04,5,505000
Maruti Alto,Maruti,Alto,2,25000,Owner,Petrol, Manual,24.7,796,47.3,5,310000
Hyundai i20,Hyundai,i20,6,42000,Dealer,Gasoline,Manual,18.6,1197,81.86,5,545000
Mahindra Bolero,Mahindra,Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,150000
Maruti Baleno,Maruti,Baleno,3,50000,Individual,Gasoline,MAN,21.4,1197,83.1,5,580000
Maruti Wagon R,Maruti,Wagon R,10,58000,Owner,Petrol,Manual,18.9,998,67.1,5,250000
Hyundai Verna,Hyundai,Verna,4,36000,Individual,Petrol,,17.43,1396,105.5,5,650000
Maruti Ertiga,Marut,Ertig,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000
Ford Ecosport,Ford ,Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000
Ford Ecosport,Ford ,Ecospor,3,7500,Owner,Diesel,Manual,23.0,1498,98.96,5,890000
Tata Safari,Tata,Safari,5,47227,Dealer,Diesel Fuel,M/T,14.0,2179,138.1,7,775000
Maruti Wagon R,,Wagon  R,3,52000,Dealer ,CNG,Manual,33.54,998,67.04,5,435000
Ford Figo,Ford,Figo,9,74000,Dealer,Diesel Fuel,MAN,20.0,1399,68.05,5,185000
Mahindra Bolero,Mahindra ,Bolero,10,47000,Car Dealer,Diesel Fuel,Manual,15.96,2523,62.1,7,440000
Hyundai i20,Hyundai,i20,6,50000,Individual,,Manual,18.6,1197,81.83,5,450000
Maruti Baleno,Maruti,Baleno,4,100000,Individual,Gas,Manual,21.4,1197,83.1,5,600000
Maruti Celerio,Maruti,Celerio,7,35000,Owner,Petrol  ,Manual  ,23.1,998,67.04,5,320000
Hyundai i20,Hyundai,i20,5,50000,INDIVIDUAL,Diesel Fuel,  Manual,21.19,1396,88.73,5,700000
Ford Aspire,Ford,Aspire,3,10000,Owner,Petrol,M/T,18.16,1196,86.8,5,630000
Maruti Alto,Maruti ,Alto,5,10370,Owner,Gas,MAN,22.74,796,47.3,5,320000
Honda City,Hond,City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000
Hyundai i20,Hyunda,i20,5,40000,Owner,Petrol,Manual,18.6,1197,81.83,5,550000
Maruti Swift,Maruti,swift,4,60000,Individual,Petrol,Manual,22.0,1197,81.8,5,445000
Tata Safari,tATA,Safari,8,67231,Dealer,,M/T,14.0,2179,138.1,7,705000
Maruti Wagon R,Maruti,Wagon R,8,64000,Dealer,CNG,Manual,33.54,998,67.04,5,270000
Honda City,Honda,City,7,63000,Dealer,Diesel Fuel,Manual,26.0,1498,98.6,5,475000
Toyota Fortuner,Toyot,Fortuner,6,80000,Individual,Diesel  ,Manual,12.55,2982,168.5,7,1755000
Honda City,Honda,City,10,55000,Car Dealer,Petrol,Manual,16.9,1497,100.0,5,350000
Hyundai i20,HYUNDAI,i20,5,11000,Car Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
Renault KWID,RENAUL,KWID,4,17000,Individual ,Gasoline,Manual,23.01,999,67.0,5,360000
Maruti Alto,Maruti,Alto,4,25000,,Gas,Manual,24.7,796,47.3,5,275000
Datsun GO,datsun,GO,5,33350,Individual,Petrol,Manual,19.44,1198,67.0,7,320000
Hyundai Grand,Hyunda,Grand,6,62000,Dealer,Petrol,Manual,18.9,1197,82.0,5,370000
Maruti Swift Dzire,Marut,Swift Dzire,12,59000,Individual,Gasoline,M/T,17.5,1298,85.8,5,275000
Honda City,Honda,city,7,86113,Dealer,petRoL,Manual,17.4,1497,117.3,5,550000
Maruti Swift Dzire,Maruti,Swift Dzire,3,10000,Owner,Diesel,Manual,28.4,1248,74.02,5,750000
Maruti Wagon R, Maruti,Wagon R,6,92537,Owner,Petrol,Manual,20.51,998,67.04,5,272000
Maruti Ciaz,Maruti,Ciaz,2,27645,Dealer,Diesel,,28.09,1248,88.5,5,951000
Maruti Alto,Maruti,Alto,8,46242,Owner,Petrol,Manual,20.92,998,67.1,5,280000
Honda City,Honda  ,City,8,70000,Owner,Petrol,Manual,16.8,1497,116.3,5,545000
Renault KWID,Renault,KWID,1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,450000
Hyundai i20,Hyundai,i20,4,64000,Car Dealer,Petrol,M/T,18.6,1197,81.83,5,480000
Mahindra Scorpio,Mahindra,Scorpio,4,93000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1060000
Maruti Alto,marut,Alto,8,26200,Car Dealer,Petrol,MAN,22.74,796,47.3,5,235000
Maruti Baleno,Maruti,Baleno,4,25000,Individual,Petrol,Manual  ,21.4,1197,83.1,5,590000
Toyota Fortuner,Toyota,Fortuner,3,50000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,2950000
Hyundai Santro,Hyundai  ,Santro,13,80000,,Gasoline,Manual,17.92,1086,62.1,5,110000
Mahindra Scorpio,Mahindr,Scorpio,14,110000,Owner, Diesel,Manual,13.5,2179,115.0,5,280000
Audi A4,Audi,A4,5,55000,Car Dealer,  Petrol,,17.84,1395,147.51,5,1851000
Honda City,Honda,City,3,25000,Individual,petrol,Manual,17.4,1497,117.3,5,750000
Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,MAN,18.9,1197,81.86,5,400000
Maruti Swift Dzire,Maruti,SWIFT DZIR,6,40000,Owner,Diesel Fuel,Manual,26.59,1248,74.0,5,530000
Mahindra Thar,Mahindra,Thar,3,25000,Owner,Diesel,,16.55,2498,105.0,6,870000
Renault KWID,R3nault,KWID,3,30038,Dealer,Petrol,Manual,25.17,799,53.3,5,295000
Tata Tiago,Tata,Tiago,4,53000,INDIVIDUAL,Diesel,Manual,27.28,1047,69.0,5,370000
Maruti Swift, Maruti,Swift,3,5000,Individual,PETROL,MANUAL,21.21,1197,81.8,5,530000
Renault KWID,Renault,KWID,4,35000,Individual,Petrol,Automatic,24.04,999,67.0,5,350000
Ford Ecosport,Ford,Ecosport,8,62000,Car Dealer,Diesel Fuel,Manual,22.7,1498,89.84,5,470000
Ford Aspire,Ford,Aspire,6,42000,INDIVIDUAL,Diesel Fuel,Manual,25.83,1498,99.0,5,390000
Mahindra Scorpio,Mahindra,Scorpio,6,80000,Individual ,Diesel,Manual,15.4,2179,120.0,7,920000
Mahindra XUV500,MAHINDRA,XUV500,8,60000,Owner,Diesel Fuel,Manual,15.1,2179,140.0,7,550000
Hyundai Verna,Hyundai,Verna,7,45000,Owner,Diesel,Manual,22.32,1582,126.32,5,635000
Mahindra XUV500,Mahindra,XUV500,4,50000,Dealer,Diesel Fuel,Automatic,16.0,2179,140.0,7,1250000
Maruti Alto,Maruti,Alto,3,12000,Individual  ,Petrol ,manual,24.7,796,47.3,5,300000
Honda City,Honda,City,3,12000,Owner,Petrol,Automatic,18.0,1497,117.6,5,960000
Maruti Vitara,Maruti,VITARA,3,15000,Owner, Diesel,Manual,24.3,1248,88.5,5,750000
Volkswagen Polo,Volkswagen,POLO,10,63000,Dealer,Petrol,MAN,16.47,1198,73.9,5,249000
Tata Hexa,Tata ,Hexa,3,30000,Individual,Diesel,,17.6,2179,153.86,7,1400000
Ford Figo,  Ford,Figo,10,160800,Individual,Diesel Fuel,MAN,20.0,1399,68.0,5,250000
Hyundai Verna,Hyundai,VERNA,7,120000,Individual,Diesel,Manual,22.32,1582,126.32,5,610000
Ford Ecosport, Ford,Ecosport,5,78247,Dealer,Diesel,Manual,21.7,1498,98.96,5,545000
Hyundai Verna,Hyundai,Verna,8,113000,Individual,Diesel,Manual,22.32,1582,126.3,5,480000
Hyundai i20,Hyundai,i20,7,52000,dealer,Petrol,Manual,18.6,1197,81.83,5,395000
Toyota Innova, Toyota,Innova,9,109000,Dealer,Diesel,Manual,12.99,2494,100.6,7,495000
Hyundai Grand,Hyundai,Grand,4,90000,indiVidUal,Petrol,  Manual,18.9,1197,82.0,5,470000
Volkswagen Polo,Volkswagen,Polo,10,98000,Dealer,Diesel,M/T,22.07,1199,73.9,5,200000
Hyundai i20,Hyundai,i20,5,20000,Owner,dIEsEL,MAN,21.19,1396,88.73,5,699000
Maruti Wagon R,Maruti,Wagon R,7,21717,Individual,Petrol, Manual,20.51,998,67.04,5,340000
Renault Duster,Renault,Duster,7,40000,Individual,Diesel ,Manual,20.45,1461,83.8,5,500000
Honda City,Honda,City,4,50000,Individual,Petrol,MAN,17.14,1497,117.6,5,1050000
Renault Duster,  R3nault,Duster,5,90000, Individual,Diesel,Manual,19.6,1461,108.45,5,600000
Maruti Swift,Maruti,Swift,4,27876,Dealer,Petrol,M/T,20.4,1197,81.8,5,491000
Land Rover Rover,LAND ROVER,Rover,5,56000,Dealer,,A/T,12.63,1999,177.0,5,2890000
Hyundai i10,Hyundai,i10,13,57215,Owner,Gas,Manual,20.36,1197,78.9,5,160000
Hyundai Venue,Hyundai,V3nue,2,5400,Dealer ,Petrol,M/T,18.27,998,118.35,5,985000
Maruti Swift Dzire,Maruti,Swift Dzire,7,60000,Individual,Diesel,Manual,23.4,1248,74.0,5,500000
Tata Tiago,Tata,Tiago,4,24800,iNDivIdUaL,Gasoline,maNUAL,23.84,1199,84.0,5,335000
Maruti Alto,Maruti,Alto,16,70000,Owner,Gasoline,Manual,19.7,796,46.3,5,85000
Honda Jazz,Honda,Jazz,3,20000,Dealer,Petrol,A/T,17.1,1199,88.51,5,740000
Maruti Swift,Marut,Swift,8,34553,Dealer,Petrol,Manual,22.0,1197,81.8,5,375000
Maruti Vitara,  Maruti,Vitara,3,40000,  Individual,Diesel,Manual,24.3,1248,88.5,5,810000
Volkswagen Polo,Volkswagen,Polo,11,350000,Individual  ,Gasoline,  Manual,16.47,1198,73.9,5,173000
Maruti Vitara,Maruti,Vitara,4,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,700000
Mahindra KUV,,KUV,5,70000,Owner,,Manual,25.32,1198,77.0,6,310000
Mahindra Scorpio,mahindra,Scorpio,4,120000,Owner,Diesel,Manual,15.4,1997,120.0,7,850000
Hyundai i20,Hyundai,i20,8,90000,,,Manual,22.54,1396,88.76,5,285000
Maruti Swift Dzire,Marut,Swift Dzire,7,120000,,Diesel,,23.4,1248,74.0,5,450000
Hyundai Creta,Hyunda,Creta,4,80000,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000
Mahindra Scorpio,MahiNDrA,Scorpio,4,30000,Owner,,Manual,15.4,1997,120.0,7,1080000
Honda City,Honda,City,7,66100,Dealer,Diesel Fuel,Manual,26.0,1498,98.6,5,530000
Maruti Swift Dzire,Maruti,Swift Dzire,4,50000,Owner,Diesel,Manual,28.4,1248,74.02,5,680000
