car_name,brand,model,vehicle_age,km_driven,transmission_type,mileage,engine,max_power,seats,selling_price,transmission_type_Encoded,seller_type_Dealer,seller_type_Owner,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Petrol
Mercedes-Benz C-Class,M3Rcedes-Benz,C-Class,7.0,65000,Automatic,19.27,2143.0,170.0,5,1425000,0,1,0,0,1,0,0
Maruti Swift,Maruti,Swift,7.0,62200,Manual,28.4,1248.0,100.59431352459016,5,425000,1,1,0,0,1,0,0
Toyota Innova,Toyota,Innov,8.0,110000,Manual,12.99,2159.5,100.6,8,605000,1,0,1,0,1,0,0
Maruti Baleno,Maruti,Baleno,6.0,20000,Manual,19.692493169398904,1197.0,83.1,5,600000,1,0,1,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzire,5.0,40000,Manual,20.85,1197.0,83.14,5,575000,1,0,1,0,0,0,1
Volkswagen Vento,Volkswagen,V3Nto,8.0,47000,Manual,16.09,1598.0,103.2,5,425000,1,1,0,0,0,0,1
Maruti Alto,Maruti,Alto,8.0,25000,Manual,20.92,998.0,67.1,5,230000,1,1,0,0,0,0,1
Hyundai Creta,Hyundai,Creta,2.0,15000,Manual,19.692493169398904,1582.0,126.2,5,1225000,1,0,1,0,1,0,0
Honda City,Honda,City,6.0,50000,Manual,17.4,1497.0,117.3,5,750000,1,0,1,0,0,0,1
Mahindra Bolero,Mahindra,Bolero,10.0,25000,Manual,19.692493169398904,1197.0,63.0,7,350000,1,0,1,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzire,6.0,90000,Manual,26.59,1248.0,74.0,5,600000,1,0,1,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzire,8.0,45000,Manual,26.59,1248.0,74.0,5,390000,1,1,0,0,1,0,0
Honda City,Honda,City,14.0,77253,Manual,17.7,1497.0,78.0,5,145000,1,1,0,0,0,0,1
Hyundai i20,Hyunda,I20,3.0,25000,Manual,17.19,1197.0,81.86,5,700000,1,0,1,0,0,0,1
Toyota Fortuner,Toyota,Fortuner,8.0,110000,Manual,13.0,2159.5,168.5,7,1150000,1,0,1,0,1,0,0
Renault KWID,Renault,Kwid,4.0,30000,Manual,23.01,999.0,67.0,5,340000,1,0,1,0,0,0,1
Honda Amaze,Honda,Amaze,5.0,39993,Manual,18.6,1199.0,88.76,5,465000,1,1,0,1,0,0,0
Hyundai Santro,Hyundai,Santro,12.0,80000,Manual,17.92,1086.0,62.1,5,125000,1,0,1,0,0,0,1
Mahindra XUV500,Mahindr,Xuv500,9.0,130000,Manual,15.1,2159.5,140.0,7,600000,1,0,1,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzire,8.0,90000,Manual,23.4,1197.0,74.0,5,380000,1,0,1,0,1,0,0
Hyundai i20,Hyundai,I20,3.0,15000,Manual,22.54,1396.0,88.73,5,850000,1,0,1,0,1,0,0
Hyundai i20,Hyundai,I20,3.0,40000,Manual,18.6,1197.0,81.83,5,598000,1,0,1,1,0,0,0
Honda City,Honda,City,6.0,31180,Manual,18.0,1497.0,117.3,5,700000,1,1,0,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzire,7.0,56000,Manual,23.4,1248.0,74.0,5,410000,1,1,0,0,1,0,0
Maruti Baleno,Maruti,Baleno,5.0,52427,Automatic,21.4,1197.0,83.1,5,590000,0,1,0,0,0,0,1
Mahindra Bolero,Mahindra,Bolero,1.0,40000,Manual,21.0,1498.0,74.96,7,850000,1,0,1,0,1,0,0
Mahindra KUV100,Mahindra,Kuv100,3.0,17000,Manual,18.15,1198.0,82.0,5,550000,1,0,1,0,0,0,1
Maruti Baleno,Maruti,Baleno,5.0,22000,Manual,15.4,1590.0,94.0,5,625000,1,1,0,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzire,5.0,54000,Manual,20.85,1197.0,83.14,5,600000,1,0,1,0,0,0,1
Maruti Wagon R,Maruti,Wagon R,2.0,10000,Manual,20.51,998.0,67.04,5,445000,1,0,1,1,0,0,0
Maruti Ignis,Maruti,Ignis,2.0,20000,Manual,20.89,1197.0,81.8,5,530000,1,0,1,0,0,0,1
Maruti Wagon R,Maruti,Wagon R,3.0,53237,Manual,26.6,1197.0,58.16,5,410000,1,0,0,1,0,0,0
Datsun RediGO,Maruti,Redigo,3.0,27263,Manual,22.5,999.0,68.0,5,350000,1,0,1,0,0,0,1
Hyundai Verna,Hyundai,Verna,7.0,110000,Manual,22.32,1582.0,126.3,5,520000,1,0,1,0,1,0,0
Hyundai i20,Hyundai,I20,5.0,70000,Manual,22.54,1197.0,88.73,5,750000,1,0,1,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzir3,4.0,70000,Manual,26.59,1248.0,74.0,5,560000,1,0,1,0,1,0,0
Hyundai i20,Hyundai,I20,2.0,39000,Manual,18.6,1197.0,81.83,5,655000,1,1,0,0,0,0,1
Hyundai Santro,Hyundai,Santro,14.0,56000,Manual,17.8,1086.0,63.0,5,125000,1,1,0,0,0,0,1
Hyundai i20,Hyundai,I20,3.0,34000,Manual,18.6,1197.0,81.83,5,550000,1,0,1,0,0,0,1
Mahindra Scorpio,Mahindra,Scorpio,4.0,50000,Manual,15.4,1997.0,120.0,7,1150000,1,0,1,0,1,0,0
Volkswagen Vento,Volkswagen,Vento,9.0,77400,Manual,20.54,1598.0,103.6,5,500000,1,1,0,0,1,0,0
Mahindra Marazzo,Mahindra,Marazzo,2.0,36000,Manual,17.3,1497.0,121.0,7,990000,1,0,1,0,1,0,0
Hyundai Verna,Hyundai,Verna,8.0,47876,Manual,25.0,1493.0,113.42,5,551000,1,1,0,0,1,0,0
Mahindra XUV500,Mahindr,Xuv500,3.0,21500,Automatic,15.1,2159.5,152.87,7,1650000,0,1,0,0,1,0,0
Hyundai Grand,Hyundai,Grand,6.0,75000,Manual,24.0,1120.0,70.0,5,350000,1,1,0,0,1,0,0
Ford Aspire,Ford,Aspire,4.0,58000,Manual,18.16,1196.0,86.8,5,500000,1,1,0,0,0,0,1
Maruti Swift Dzire,Marut,Swift Dzir3,3.0,30000,Manual,21.21,1197.0,81.8,5,575000,1,0,1,1,0,0,0
Hyundai Grand,Hyundai,Grand,3.0,50000,Manual,24.0,1186.0,73.97,5,545000,1,1,0,0,1,0,0
Ford Figo,Ford,Figo,4.0,19093,Manual,18.16,1196.0,86.8,5,525000,1,0,0,0,0,0,1
Honda Amaze,Hond,Amaze,7.0,50000,Manual,18.0,1198.0,86.7,5,400000,1,0,1,0,0,0,1
Maruti Wagon R,Maruti,Wagon R,14.0,37000,Manual,14.0,1061.0,64.0,5,155000,1,1,0,1,0,0,0
Maruti Swift Dzire,Maruti,Swift Dzire,5.0,47000,Manual,19.692493169398904,1248.0,74.0,5,545000,1,1,0,0,1,0,0
Honda City,Honda,City,8.0,70000,Manual,19.692493169398904,1497.0,116.3,5,545000,1,0,1,0,0,0,1
Renault KWID,Renault,Kwid,5.0,25000,Manual,25.17,799.0,53.3,5,240000,1,0,1,0,0,0,1
Maruti Vitara,Maruti,Vitara,3.0,26000,Manual,24.3,1248.0,100.59431352459016,5,725000,1,1,0,0,1,0,0
Ford Aspire,Ford,Aspire,4.0,30000,Manual,19.692493169398904,1196.0,100.59431352459016,5,480000,1,0,1,0,0,0,1
Hyundai i20,Hyundai,I20,8.0,15000,Manual,18.5,1197.0,82.9,5,375000,1,0,1,1,0,0,0
Maruti Swift,Maruti,Swif,10.0,130000,Manual,17.8,1248.0,75.0,5,225000,1,0,1,0,1,0,0
Tata Tiago,Tata,Tiago,4.0,32100,Manual,23.84,1197.0,84.0,5,400000,1,0,1,0,0,0,1
Hyundai i20,Hyunda,I20,5.0,22000,Manual,18.5,1197.0,82.9,5,550000,1,1,0,0,0,0,1
Mahindra Scorpio,Mahindra,Scorpio,5.0,44000,Manual,19.692493169398904,2159.5,120.0,7,1050000,1,1,0,0,1,0,0
Volkswagen Polo,Volkswagen,Polo,5.0,78000,Manual,18.78,1198.0,74.0,5,450000,1,1,0,0,0,0,1
Mercedes-Benz C-Class,M3Rcedes-Benz,C-Class,9.0,74352,Automatic,11.74,1796.0,174.52500000000003,5,775000,0,1,0,0,0,0,1
Maruti Wagon R,Maruti,Wagon R,7.0,37000,Manual,20.51,998.0,67.04,5,350000,1,0,1,1,0,0,0
Honda City,Hond,City,4.0,69000,Manual,25.1,1498.0,98.6,5,550000,1,1,0,0,1,0,0
Kia Seltos,Kia,Seltos,2.0,12120,Manual,16.8,1497.0,113.4,5,1080000,1,0,1,0,0,0,1
Maruti Baleno,Maruti,Baleno,5.0,52000,Manual,21.01,1197.0,81.8,5,575000,1,1,0,0,0,0,1
Toyota Innova,Toyot,Innova,5.0,120000,Manual,12.99,2159.5,100.59431352459016,8,950000,1,0,1,0,1,0,0
Maruti Alto,Maruti,Alto,8.0,55000,Manual,19.692493169398904,796.0,47.3,5,230000,1,0,1,0,0,0,1
Hyundai i20,Hyundai,I20,10.0,130000,Manual,21.9,1396.0,90.0,5,270000,1,0,1,0,1,0,0
Ford Figo,Ford,Figo,10.0,40000,Manual,15.6,1196.0,70.0,5,130000,1,0,1,0,0,0,1
Maruti Swift Dzire,Marut,Swift Dzire,9.0,46000,Manual,19.1,1197.0,85.8,5,370000,1,1,0,0,0,0,1
Maruti Baleno,Maruti,Baleno,4.0,25000,Manual,21.4,1197.0,83.1,5,570000,1,1,0,1,0,0,0
Volkswagen Polo,Maruti,Polo,8.0,90000,Manual,22.07,1199.0,73.9,5,365000,1,1,0,0,1,0,0
Hyundai i20,Hyundai,I20,9.0,49566,Manual,18.5,1197.0,82.85,5,280000,1,1,0,0,0,0,1
Hyundai Verna,Hyundai,Verna,3.0,14000,Automatic,22.0,1582.0,126.2,5,1250000,0,1,0,0,0,0,1
Hyundai i20,Hyundai,I20,5.0,11000,Manual,18.6,1197.0,81.83,5,590000,1,1,0,0,0,0,1
Maruti Celerio,Maruti,Celerio,3.0,5000,Automatic,23.1,998.0,67.04,5,475000,0,0,1,0,0,0,1
Ford Ecosport,Ford,Ecosport,4.0,55000,Manual,23.0,1498.0,98.96,5,685000,1,1,0,0,1,0,0
Hyundai Verna,Hyunda,V3Rna,9.0,65000,Automatic,19.08,1582.0,126.32,5,380000,0,1,0,0,1,0,0
Renault KWID,Renault,Kwi,3.0,22000,Manual,23.01,999.0,67.0,5,330000,1,0,1,0,0,0,1
Maruti Baleno,Maruti,Baleno,3.0,7671,Manual,21.01,1197.0,81.8,5,650000,1,0,0,0,0,0,1
Maruti Wagon R,Maruti,Wagon R,4.0,66000,Manual,20.51,998.0,67.04,5,325000,1,0,1,1,0,0,0
Maruti Swift Dzire,Maruti,Swift Dzire,3.0,45156,Automatic,21.21,1197.0,100.59431352459016,5,640000,0,1,0,0,0,0,1
Hyundai Venue,Maruti,Venue,2.0,25000,Manual,18.27,998.0,118.35,5,949000,1,0,1,0,0,0,1
Hyundai Verna,Hyundai,V3Rna,6.0,120000,Manual,23.9,1582.0,126.2,5,660000,1,0,1,0,1,0,0
Maruti Swift,Maruti,Swift,7.0,28000,Manual,16.1,1197.0,85.0,5,435000,1,1,0,0,0,0,1
Hyundai i20,Maruti,I20,8.0,55000,Manual,21.9,1396.0,88.76,5,385000,1,1,0,0,1,0,0
Hyundai Verna,Hyundai,Verna,2.0,14000,Automatic,22.0,1582.0,126.2,5,1250000,0,1,0,0,1,0,0
Maruti Wagon R,Maruti,Wagon R,4.0,98780,Manual,18.9,998.0,67.1,5,155000,1,1,0,0,0,0,1
Maruti Swift,Maruti,Swif,6.0,58000,Manual,25.2,1248.0,74.0,5,415000,1,1,0,0,0,0,1
Maruti Alto,Maruti,Alto,10.0,30000,Manual,20.92,998.0,67.1,5,251000,1,0,1,1,0,0,0
Mahindra Scorpio,Mahindra,Scorpio,5.0,46400,Manual,15.4,2159.5,120.0,7,1150000,1,1,0,0,1,0,0
Hyundai i10,Hyundai,I10,7.0,32111,Manual,19.81,1086.0,68.05,5,310000,1,0,0,0,0,0,1
Datsun GO,Datsun,Go,6.0,35000,Manual,19.692493169398904,1198.0,67.0,7,350000,1,0,1,0,0,0,1
Mahindra Scorpio,Mahindr,Scorpio,4.0,30000,Manual,15.4,1197.0,120.0,7,1125000,1,1,0,0,1,0,0
BMW 5,Bmw,5,5.0,63000,Automatic,18.59,2159.5,174.52500000000003,5,2600000,0,1,0,0,1,0,0
Datsun GO,Datsun,Go,4.0,10000,Manual,20.62,1198.0,67.0,7,480000,1,0,1,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzir3,4.0,25000,Automatic,28.4,1248.0,74.02,5,850000,0,0,1,0,1,0,0
Hyundai Creta,Hyundai,Creta,4.0,102000,Automatic,17.01,1582.0,126.2,5,1100000,0,1,0,0,1,0,0
Maruti Swift,Maruti,Swift,4.0,35000,Manual,22.0,1197.0,81.8,5,575000,1,1,0,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzir3,9.0,49948,Manual,17.5,1298.0,85.8,5,340000,1,1,0,0,0,0,1
Ford Ecosport,Ford,Ecosport,3.0,55000,Manual,23.0,1498.0,98.96,5,925000,1,0,1,0,1,0,0
Hyundai Grand,Hyundai,Grand,6.0,36000,Manual,18.9,1197.0,82.0,5,400000,1,1,0,0,0,0,1
Honda City,Honda,City,5.0,49625,Manual,17.8,1497.0,117.3,5,725000,1,1,0,0,0,0,1
Maruti Swift Dzire,Marut,Swift Dzire,7.0,35000,Manual,23.4,1248.0,74.0,5,600000,1,0,1,0,1,0,0
Mahindra Scorpio,Mahindra,Scorpio,8.0,95000,Manual,19.692493169398904,2159.5,120.0,8,550000,1,0,1,0,1,0,0
Ford Aspire,Ford,Aspire,4.0,36000,Manual,25.83,1498.0,99.0,5,585000,1,1,0,0,1,0,0
Maruti Wagon R,Marut,Wagon R,2.0,50000,Manual,21.79,998.0,67.05,5,411000,1,0,1,0,0,0,1
Maruti Swift Dzire,Marut,Swift Dzire,6.0,26500,Manual,20.85,1197.0,83.14,5,450000,1,0,1,0,0,0,1
Honda CR-V,Honda,Cr-V,6.0,80000,Automatic,13.7,1997.0,153.86,5,1290000,0,1,0,0,0,0,1
Volkswagen Polo,Volkswagen,Polo,6.0,46000,Manual,16.47,1198.0,74.0,5,455000,1,1,0,0,0,0,1
Hyundai Grand,Hyundai,Grand,2.0,9000,Manual,20.7,1197.0,81.86,5,710000,1,1,0,0,0,0,1
Honda City,Honda,City,5.0,53000,Manual,19.692493169398904,1497.0,116.3,5,770000,1,1,0,0,0,0,1
Ford Endeavour,Ford,Endeavour,3.0,11387,Automatic,10.91,1197.0,174.52500000000003,7,2900000,0,0,1,0,1,0,0
Honda Amaze,Honda,Amaze,3.0,50000,Manual,25.8,1498.0,98.6,5,720000,1,0,1,0,1,0,0
Mahindra KUV,Mahindra,Kuv,5.0,52000,Manual,25.32,1198.0,77.0,5,375000,1,1,0,0,1,0,0
Datsun GO,Datsu,Go,6.0,35000,Manual,19.44,1198.0,67.0,7,400000,1,0,1,0,0,0,1
Renault Duster,Renault,Duster,6.0,48000,Manual,19.87,1461.0,83.8,5,600000,1,1,0,0,1,0,0
Honda Jazz,Honda,Jazz,3.0,18000,Manual,18.7,1199.0,88.7,5,600000,1,1,0,1,0,0,0
Maruti Wagon R,Marut,Wagon R,9.0,57413,Manual,19.692493169398904,998.0,61.7,5,270000,1,0,1,1,0,0,0
Hyundai i20,Hyundai,I20,6.0,30000,Manual,18.6,1197.0,81.83,5,500000,1,0,1,0,0,0,1
Hyundai Verna,Hyundai,V3Rna,6.0,55000,Manual,23.9,1582.0,126.2,5,650000,1,1,0,0,1,0,0
Maruti Swift,Maruti,Swift,3.0,10000,Automatic,21.21,1197.0,81.8,5,660000,0,0,1,0,0,0,1
BMW 3,Bmw,3,5.0,68000,Automatic,22.69,1995.0,174.52500000000003,5,2090000,0,1,0,0,1,0,0
Kia Seltos,Kia,Seltos,1.0,8000,Manual,16.8,1497.0,113.4,5,1275000,1,1,0,0,0,0,1
Maruti Swift,Maruti,Swift,6.0,65000,Manual,28.4,1248.0,74.0,5,495000,1,1,0,0,1,0,0
Hyundai Grand,Hyundai,Grand,5.0,25000,Manual,18.9,1197.0,82.0,5,475000,1,0,1,0,0,0,1
Maruti Ciaz,Maruti,Ciaz,6.0,70000,Manual,20.73,1373.0,91.1,5,530000,1,0,1,0,0,0,1
Tata Tiago,Tata,Tiago,5.0,9500,Manual,23.84,1199.0,100.59431352459016,5,530000,1,0,1,0,0,0,1
Hyundai Verna,Hyundai,Verna,6.0,9100,Manual,17.01,1591.0,121.3,5,650000,1,0,1,0,0,0,1
Honda City,Honda,City,11.0,86000,Manual,17.0,1497.0,118.0,5,335000,1,1,0,1,0,0,0
Audi A4,Audi,A4,8.0,78000,Automatic,16.55,1968.0,147.51,5,1290000,0,1,0,0,1,0,0
Ford Figo,Ford,Figo,10.0,60000,Manual,20.0,1399.0,68.0,5,300000,1,0,1,0,1,0,0
Maruti Wagon R,Maruti,Wagon R,4.0,7883,Automatic,21.5,1197.0,81.8,5,550000,0,0,0,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzire,8.0,50205,Manual,23.4,1248.0,74.0,5,390000,1,0,0,0,1,0,0
Mahindra Bolero,Mahindr,Bolero,13.0,130000,Manual,13.6,2159.5,63.0,7,260000,1,0,1,0,1,0,0
Tata Tigor,Tata,Tigor,4.0,58000,Manual,24.7,1047.0,69.0,5,395000,1,1,0,0,1,0,0
Mahindra Scorpio,Mahindra,Scorpio,9.0,130000,Manual,12.05,2159.5,120.0,8,550000,1,0,1,0,1,0,0
Maruti Swift Dzire,Maruti,Swift Dzir3,3.0,15000,Manual,22.0,1197.0,81.8,5,650000,1,0,1,0,0,0,1
Maruti Swift,Marut,Swif,5.0,71245,Manual,28.4,1248.0,74.0,5,375000,1,1,0,0,1,0,0
Kia Seltos,Kia,Seltos,2.0,7000,Manual,16.1,1353.0,138.0,5,1300000,1,0,1,0,0,0,1
Maruti Alto,Maruti,Alto,3.0,20000,Manual,23.95,998.0,67.05,5,360000,1,0,1,0,0,0,1
Maruti Celerio,Maruti,Celerio,1.0,8700,Manual,21.63,998.0,67.04,5,505000,1,0,1,1,0,0,0
Maruti Alto,Maruti,Alto,2.0,25000,Manual,24.7,796.0,47.3,5,310000,1,0,1,0,0,0,1
Hyundai i20,Hyundai,I20,6.0,42000,Manual,18.6,1197.0,81.86,5,545000,1,1,0,0,0,0,1
Mahindra Bolero,Mahindra,Bolero,14.0,120000,Manual,13.6,2159.5,63.0,7,150000,1,0,1,0,1,0,0
Maruti Baleno,Maruti,Baleno,3.0,50000,Manual,19.692493169398904,1197.0,83.1,5,580000,1,0,1,0,0,0,1
Maruti Wagon R,Maruti,Wagon R,10.0,58000,Manual,18.9,998.0,67.1,5,250000,1,0,1,0,0,0,1
Hyundai Verna,Hyundai,Verna,4.0,36000,Manual,17.43,1396.0,105.5,5,650000,1,0,1,0,0,0,1
Maruti Ertiga,Marut,Ertig,3.0,30000,Manual,25.47,1248.0,88.5,7,410000,1,0,1,0,1,0,0
Ford Ecosport,Ford,Ecosport,6.0,130000,Manual,22.77,1498.0,98.59,5,531000,1,1,0,0,1,0,0
Ford Ecosport,Ford,Ecospor,3.0,7500,Manual,23.0,1498.0,98.96,5,890000,1,0,1,0,1,0,0
Tata Safari,Tata,Safari,5.0,47227,Manual,14.0,2159.5,138.1,7,775000,1,1,0,0,1,0,0
Maruti Wagon R,Maruti,Wagon  R,3.0,52000,Manual,30.834999999999994,998.0,67.04,5,435000,1,1,0,1,0,0,0
Ford Figo,Ford,Figo,9.0,74000,Manual,20.0,1399.0,68.05,5,185000,1,1,0,0,1,0,0
Mahindra Bolero,Mahindra,Bolero,10.0,47000,Manual,15.96,2159.5,62.1,7,440000,1,1,0,0,1,0,0
Hyundai i20,Hyundai,I20,6.0,50000,Manual,18.6,1197.0,81.83,5,450000,1,0,1,0,0,0,1
Maruti Baleno,Maruti,Baleno,4.0,100000,Manual,21.4,1197.0,83.1,5,600000,1,0,1,1,0,0,0
Maruti Celerio,Maruti,Celerio,7.0,35000,Manual,23.1,998.0,67.04,5,320000,1,0,1,0,0,0,1
Hyundai i20,Hyundai,I20,5.0,50000,Manual,21.19,1396.0,88.73,5,700000,1,0,1,0,1,0,0
Ford Aspire,Ford,Aspire,3.0,10000,Manual,18.16,1196.0,86.8,5,630000,1,0,1,0,0,0,1
Maruti Alto,Maruti,Alto,5.0,10370,Manual,22.74,796.0,47.3,5,320000,1,0,1,1,0,0,0
Honda City,Hond,City,8.0,62000,Manual,16.8,1497.0,116.3,5,465000,1,1,0,0,0,0,1
Hyundai i20,Hyunda,I20,5.0,40000,Manual,18.6,1197.0,81.83,5,550000,1,0,1,0,0,0,1
Maruti Swift,Maruti,Swift,4.0,60000,Manual,22.0,1197.0,81.8,5,445000,1,0,1,0,0,0,1
Tata Safari,Tata,Safari,8.0,67231,Manual,14.0,2159.5,138.1,7,705000,1,1,0,0,0,0,1
Maruti Wagon R,Maruti,Wagon R,8.0,64000,Manual,30.834999999999994,998.0,67.04,5,270000,1,1,0,1,0,0,0
Honda City,Honda,City,7.0,63000,Manual,26.0,1498.0,98.6,5,475000,1,1,0,0,1,0,0
Toyota Fortuner,Toyot,Fortuner,6.0,80000,Manual,12.55,2159.5,168.5,7,1755000,1,0,1,0,1,0,0
Honda City,Honda,City,10.0,55000,Manual,19.692493169398904,1497.0,100.0,5,350000,1,1,0,0,0,0,1
Hyundai i20,Hyundai,I20,5.0,11000,Manual,18.6,1197.0,81.83,5,575000,1,1,0,0,0,0,1
Renault KWID,Renaul,Kwid,4.0,17000,Manual,23.01,999.0,67.0,5,360000,1,0,1,0,0,0,1
Maruti Alto,Maruti,Alto,4.0,25000,Manual,24.7,796.0,47.3,5,275000,1,1,0,1,0,0,0
Datsun GO,Datsun,Go,5.0,33350,Manual,19.692493169398904,1198.0,67.0,7,320000,1,0,1,0,0,0,1
Hyundai Grand,Hyunda,Grand,6.0,62000,Manual,18.9,1197.0,82.0,5,370000,1,1,0,0,0,0,1
Maruti Swift Dzire,Marut,Swift Dzire,12.0,59000,Manual,17.5,1298.0,85.8,5,275000,1,0,1,0,0,0,1
Honda City,Honda,City,7.0,86113,Manual,17.4,1497.0,117.3,5,550000,1,1,0,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzire,3.0,10000,Manual,28.4,1248.0,74.02,5,750000,1,0,1,0,1,0,0
Maruti Wagon R,Maruti,Wagon R,6.0,92537,Manual,20.51,998.0,67.04,5,272000,1,0,1,0,0,0,1
Maruti Ciaz,Maruti,Ciaz,2.0,27645,Manual,28.09,1248.0,88.5,5,951000,1,1,0,0,1,0,0
Maruti Alto,Maruti,Alto,8.0,46242,Manual,20.92,998.0,67.1,5,280000,1,0,1,0,0,0,1
Honda City,Honda,City,8.0,70000,Manual,16.8,1497.0,116.3,5,545000,1,0,1,0,0,0,1
Renault KWID,Renault,Kwid,1.0,6000,Manual,22.3,799.0,53.26,5,450000,1,0,1,0,0,0,1
Hyundai i20,Hyundai,I20,4.0,64000,Manual,18.6,1197.0,81.83,5,480000,1,1,0,0,0,0,1
Mahindra Scorpio,Mahindra,Scorpio,4.0,93000,Manual,15.4,1997.0,120.0,7,1060000,1,1,0,0,1,0,0
Maruti Alto,Marut,Alto,8.0,26200,Manual,22.74,796.0,47.3,5,235000,1,1,0,0,0,0,1
Maruti Baleno,Maruti,Baleno,4.0,25000,Manual,21.4,1197.0,83.1,5,590000,1,0,1,0,0,0,1
Toyota Fortuner,Toyota,Fortuner,3.0,50000,Automatic,12.9,2159.5,174.5,7,2950000,0,1,0,0,1,0,0
Hyundai Santro,Hyundai,Santro,13.0,80000,Manual,17.92,1086.0,62.1,5,110000,1,1,0,0,0,0,1
Mahindra Scorpio,Mahindr,Scorpio,14.0,110000,Manual,13.5,2159.5,115.0,5,280000,1,0,1,0,1,0,0
Audi A4,Audi,A4,5.0,55000,Manual,17.84,1395.0,147.51,5,1851000,1,1,0,0,0,0,1
Honda City,Honda,City,3.0,25000,Manual,17.4,1497.0,117.3,5,750000,1,0,1,0,0,0,1
Hyundai Grand,Hyundai,Grand,6.0,36000,Manual,18.9,1197.0,81.86,5,400000,1,1,0,0,0,0,1
Maruti Swift Dzire,Maruti,Swift Dzir,4.0,40000,Manual,19.692493169398904,1248.0,74.0,5,530000,1,0,1,0,1,0,0
Mahindra Thar,Mahindra,Thar,3.0,25000,Manual,16.55,2159.5,105.0,6,870000,1,0,1,0,1,0,0
Renault KWID,R3Nault,Kwid,3.0,30038,Manual,25.17,799.0,53.3,5,295000,1,1,0,0,0,0,1
Tata Tiago,Tata,Tiago,4.0,53000,Manual,27.28,1047.0,69.0,5,370000,1,0,1,0,1,0,0
Maruti Swift,Maruti,Swift,3.0,5000,Manual,21.21,1197.0,81.8,5,530000,1,0,1,0,0,0,1
Renault KWID,Renault,Kwid,4.0,35000,Automatic,24.04,999.0,67.0,5,350000,0,0,1,0,0,0,1
Ford Ecosport,Ford,Ecosport,8.0,62000,Manual,22.7,1498.0,89.84,5,470000,1,1,0,0,1,0,0
Ford Aspire,Ford,Aspire,6.0,42000,Manual,25.83,1498.0,99.0,5,390000,1,0,1,0,1,0,0
Mahindra Scorpio,Mahindra,Scorpio,6.0,80000,Manual,15.4,2159.5,120.0,7,920000,1,0,1,0,1,0,0
Mahindra XUV500,Mahindra,Xuv500,8.0,60000,Manual,15.1,2159.5,140.0,7,550000,1,0,1,0,1,0,0
Hyundai Verna,Hyundai,Verna,7.0,45000,Manual,22.32,1582.0,126.32,5,635000,1,0,1,0,1,0,0
